unit_id,name
3.82.5.41,新北市立新北特殊教育學校
3.9.26.3,國立成功大學醫學院附設醫院
3.5.98,國防醫學院
3.96,臺南市議會
3.1.1.11,臺灣警察專科學校
3.11.94.7,法務部矯正署彰化監獄
37300900,淡江大學
3.5.48,國防部海軍司令部
3.5.47,國防部陸軍司令部
3.15.25.5,交通部公路總局第五區養護工程處
3.97.13.3,高雄市政府警察局交通警察大隊
3.9.31,國立中正大學
3.82.5.52,新北市立新莊國民中學
3.15.25.34,交通部公路總局嘉義區監理所
3.79.14.14,臺北市立聯合醫院
3.15.83.18,中華郵政股份有限公司新營郵局
3.71.2.63,金門縣採購招標所
3.13.52.4,台灣自來水股份有限公司第四區管理處
3.97.15.2,高雄市政府環境保護局南區資源回收廠
3.63.1.2,行政院海岸巡防署海岸巡防總局中部地區巡防局
A.7.31.1,臺灣銀行股份有限公司
3.76.57,基隆市政府
3.13.32.15.7,台灣電力股份有限公司核能火力發電工程處龍門施工處
3.76.55,花蓮縣政府
3.79,臺北市政府
3.13.52.7,台灣自來水股份有限公司第七區管理處
3.5.11,國防部軍醫局
3.15.86.2,臺灣港務股份有限公司臺中港務分公司
3.92.1.47,國立東石高級中學
3.82.7.80,新北市新店區屈尺國民小學
3.76.49,雲林縣政府
3.13.30,臺灣糖業股份有限公司
3.87.12,臺中市政府社會局
3.15.83,中華郵政股份有限公司
3.79.5.70,臺北市立百齡高級中學
3.97.8.14,高雄市鳥松區大華國民小學
3.5.49,國防部空軍司令部
52006700,修平學校財團法人修平科技大學
3.93.50.22,天主教振聲學校財團法人桃園市振聲高級中等學校
3.10.90.21,私立南華大學
97983365,財團法人國際合作發展基金會
3.76.44.97.83,新竹縣竹北市竹北國民小學
3.76.54.58,臺東縣長濱鄉公所
3.95.63,臺南市善化區公所
3.76.53.51,屏東縣屏東市公所
3.79.9.10,臺北市中山區濱江國民小學
3.13.50,台灣中油股份有限公司
3.13.30.31,臺灣糖業股份有限公司砂糖事業部
3.15.18,交通部臺灣鐵路管理局
3.97.8.4,高雄市大寮區潮寮國民小學
3.7.74.34,臺灣菸酒股份有限公司南投酒廠
3.87.10,臺中市政府建設局
3.76.45.64,苗栗縣西湖鄉公所
7,監察院
3.76.45,苗栗縣政府
3.13.52.3,台灣自來水股份有限公司第三區管理處
3.13.20.11,經濟部水利署第一河川局
3.76.47.64,彰化縣芬園鄉公所
3.71.1.1,金門縣金城鎮公所
3.32.81,臺中榮民總醫院
3.10.39,國立高雄應用科技大學
A.5.5.2,國防部電訊發展室
3.76.45.58,苗栗縣大湖鄉公所
3.87.16.20,臺中市中山地政事務所
3.13.20.2,經濟部水利署中區水資源局
3.15.25.3,交通部公路總局第三區養護工程處
3.95.25,臺南市政府水利局
3.87.26,臺中市政府地方稅務局
3.76.49.69,雲林縣口湖鄉公所
A.9.6J.1,國立屏東大學附設實驗國民小學
3.15.5.1,交通部臺灣區國道高速公路局北區工程處
76013504,臺灣高雄農田水利會
03724401,實踐大學
3.92.35,國立聯合大學
3.13.52,台灣自來水股份有限公司
56503118,臺中市私立致用高級中學
69118503,臺灣嘉南農田水利會
3.13.31.5,台灣電力股份有限公司台北西區營業處
3.45.5.11,行政院農業委員會水土保持局臺東分局
3.76.48.56,南投縣名間鄉公所
3.45.5.10,行政院農業委員會水土保持局臺南分局
3.10.6,國立雲林科技大學
3.82.5.94,新北市立正德國民中學
3.76.50.55,嘉義縣民雄鄉公所
3.76.54.57,臺東縣東河鄉公所
3.97.15,高雄市政府環境保護局
3.45.4.5,行政院農業委員會林務局嘉義林區管理處
3.13.31.83,台灣電力股份有限公司第三核能發電廠
3.13.31.81,台灣電力股份有限公司第一核能發電廠
3.95.62,臺南市新化區公所
3.82.56,新北市新店區公所
3.11.90.28,臺灣高雄地方法院檢察署
3.97.11.3,高雄市政府工務局養護工程處
A.21.2,衛生福利部食品藥物管理署
3.13.31.13,台灣電力股份有限公司彰化區營業處
3.15.83.1,中華郵政股份有限公司臺北郵局
3.97.61,高雄市小港區公所
3.76.53.52,屏東縣潮州鎮公所
3.13.31.45,台灣電力股份有限公司台中發電廠
3.13.52.5,台灣自來水股份有限公司第五區管理處
3.13.31,台灣電力股份有限公司
3.95.11,臺南市政府工務局
3.7.74.5,臺灣菸酒股份有限公司臺中營業處
3.76.48.61,南投縣水里鄉公所
3.57,行政院大陸委員會
3.93.50.35,臺中市青年高級中學
3.87.14,臺中市政府衛生局
3.32.80,臺北榮民總醫院
A.21.100.50,衛生福利部金門醫院
3.82.11.1,新北市政府採購處
3.76.48.18,南投縣政府警察局
3.92.5.64,國立東港高級海事水產職業學校
3.97.3.5,高雄市稅捐稽徵處
3.10.90.9,私立長庚大學
3.9.20.14,國立臺灣大學生物資源暨農學院附設動物醫院
3.82.79,新北市樹林區公所
A.21.100.36,衛生福利部臺中醫院
3.9.20.1.4,國立臺灣大學醫學院附設醫院新竹分院
3.15.83.4,中華郵政股份有限公司高雄郵局
A.21.3,衛生福利部中央健康保險署
3.95.2,臺南市政府民政局
3.10.90.11,中華大學
3.76.44.97.56,新竹縣寶山鄉新城國民小學
3.76.42.62,宜蘭縣南澳鄉公所
A.9.6J,國立屏東大學
3.13.20.14,經濟部水利署第四河川局
3.80.63,桃園市復興區公所
3.80.55,桃園市楊梅區公所
3.15.25.2,交通部公路總局第二區養護工程處
3.76.56.3.6,澎湖縣政府環境保護局
02931655,財團法人農業科技研究院
3.87.63,臺中市沙鹿區公所
3.13.31.10,台灣電力股份有限公司台中區營業處
3.13.31.47,台灣電力股份有限公司大潭發電廠
3.5,國防部
3.10.34,國立臺北大學
3.76.48.53,南投縣草屯鎮公所
3.95.79,臺南市玉井區公所
3.95.2.1,臺南市殯葬管理所
A.5.14,國防部後備指揮部
3.15.25.33,交通部公路總局臺中區監理所
3.76.47.72,彰化縣埤頭鄉公所
3.76.42.96.11,宜蘭縣立壯圍國民中學
3.79.11.5,臺北市政府工務局衛生下水道工程處
3.15.6.50,交通部民用航空局飛航服務總臺
3.13.52.2,台灣自來水股份有限公司第二區管理處
60007800,臺灣彰化農田水利會
3.15.25.36,交通部公路總局臺北市區監理所
3.13.31.9,台灣電力股份有限公司苗栗區營業處
3.9.32,國立臺灣海洋大學
3.95.70,臺南市官田區公所
3.1.2,內政部營建署
3.15.25.1,交通部公路總局第一區養護工程處
73502304,嘉藥學校財團法人嘉南藥理大學
3.71.4.3,連江縣莒光鄉公所
A.21.100.48,衛生福利部玉里醫院
3.13.15,經濟部標準檢驗局
3.1.11,內政部役政署
3.79.11.3,臺北市政府工務局公園路燈工程管理處
3.13.30.20,臺灣糖業股份有限公司休閒遊憩事業部
